Contig	Mean Abundance	SE	Cazy Class	Cazy Family	Best Hit ID	Description	Taxonomy Lineage			
aggregates-combined-assembly1_5350321_1_644_-	aggregates-combined-assembly1_5350321_1_644_-	0.01764305101895	0.00354531694737412	n.d.	GH105	GH	ABF39965.1	glycosyl hydrolase, family 88	Bacteria	Acidobacteria	Acidobacteriales
aggregates-combined-assembly1_5350396_1_766_+	aggregates-combined-assembly1_5350396_1_766_+	0.02965792271017	0.0105718964160793	n.d.	GT41	GT	AAZ58723.1	TPR repeat	Bacteria	Cyanobacteria	Prochlorales
aggregates-combined-assembly1_5350483_1_407_+	aggregates-combined-assembly1_5350483_1_407_+	0.01872633882537	0.00513486684528593	n.d.	GT2	GT	AAO76290.1	two-component system sensor histidine kinase/response regulator, hybrid (one component system)	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5350553_1_763_+	aggregates-combined-assembly1_5350553_1_763_+	0.034506804963425	0.00760689081305344	n.d.	CE1	CE	ABH65273.1	Sequence 4 from patent US 7026465	Unclassified		
aggregates-combined-assembly1_5350602_1_512_-	aggregates-combined-assembly1_5350602_1_512_-	0.0443251360326	0.0160491363772288	n.d.	GH13	GH	CAJ73822.1	conserved hypothetical protein	Bacteria	Planctomycetes	Planctomycetacia
aggregates-combined-assembly1_5350666_705_1016_+	aggregates-combined-assembly1_5350666_1100_1735_+	0.0378522146507	0.00989966154802057	n.d.	GT4	GT	ABV97794.1	glycosyl transferase group 1	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5350666_1100_1735_+	aggregates-combined-assembly1_5350666_705_1016_+	0.0378522146507	0.00989966154802057	n.d.	GT4	GT	BAC74212.1	putative glycosyltransferase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5350720_1281_1693_-	aggregates-combined-assembly1_5350720_1281_1693_-	0.0286367453905525	0.0101495736169205	n.d.	GT2	GT	BAF90624.1	putative intercellular adhesion protein A	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5351521_1_769_+	aggregates-combined-assembly1_5351521_1_769_+	0.0297826549726225	0.010714333922501	n.d.	CE1	CE	ABW10985.1	putative esterase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5352605_1_557_+	aggregates-combined-assembly1_5352605_1_557_+	0.0240319402816	0.00430840165763655	n.d.	GH23	GH	ABY92024.1	peptidase M23B	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5352714_1_819_-	aggregates-combined-assembly1_5352714_1_819_-	0.022314743154895	0.00614379270062734	n.d.	GT4	GT	ABA22050.1	Glycosyl transferase, group 1	Bacteria	Cyanobacteria	Nostocales
aggregates-combined-assembly1_5353054_1_669_+	aggregates-combined-assembly1_5353054_1_669_+	0.0226628448778025	0.00915283977254987	n.d.	CE4	CE	BAE56160.1	unnamed protein product	Eukaryota	Fungi	Dikarya
aggregates-combined-assembly1_5353254_1_557_-	aggregates-combined-assembly1_5353254_1_557_-	0.02082208981005	0.00479897863417764	n.d.	GH109	GH	CAJ88292.1	putative oxidoreductase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5353447_1175_1558_+	aggregates-combined-assembly1_5353447_1175_1558_+	0.034845078147825	0.00765353926812585	n.d.	GT2	GT	AAW40530.1	histidinol-phosphate phosphatase family protein/glycosyl transferase, group 2 family protein	Bacteria	Chloroflexi	Dehalococcoidetes
aggregates-combined-assembly1_5353941_1_633_-	aggregates-combined-assembly1_5353941_1_633_-	0.027251771035175	0.00578119556338957	n.d.	CE9	CE	ABW20008.1	amidohydrolase	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5354654_170_602_-	aggregates-combined-assembly1_5354654_170_602_-	0.025353446190045	0.00772629258118235	n.d.	CE9	CE	ABY91792.1	amidohydrolase	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5359312_91_453_-	aggregates-combined-assembly1_5359312_91_453_-	0.02955502026088	0.0110623265524275	n.d.	none	none	ACB34608.1	glycosyl transferase group 1	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_5362625_1_611_-	aggregates-combined-assembly1_5362625_1_611_-	0.021490900155505	0.00569111909545433	n.d.	GH3	GH	ABG57307.1	b-glycosidase, glycoside hydrolase family 3 protein	Bacteria	Bacteroidetes	Sphingobacteria
aggregates-combined-assembly1_5362872_101_717_-	aggregates-combined-assembly1_5362872_101_717_-	0.03048369488285	0.00789864004916973	n.d.	GT51	GT	CAB42729.1	putative secreted penicillin-binding protein	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5363565_1_1064_-	aggregates-combined-assembly1_5363565_1_1064_-	0.031853393394875	0.00311306109551856	n.d.	GT2	GT	ABL00931.1	glycosyl transferase, family 2	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5363656_1_786_-	aggregates-combined-assembly1_5363656_1_786_-	0.040496912077925	0.00897424084264062	n.d.	GH13	GH	ABC98618.1	malto-oligosyltrehalose synthase	Bacteria	Cyanobacteria	Chroococcales
aggregates-combined-assembly1_5364585_1455_1756_-	aggregates-combined-assembly1_5364585_1455_1756_-	0.0323341866697	0.00874979027417862	3.2.1.-	GH13	GH	CAB94218.1	pullulan hydrolase type III	Archaea	Euryarchaeota	Thermococci
aggregates-combined-assembly1_5366081_1_844_+	aggregates-combined-assembly1_5366081_1_844_+	0.0267382369066725	0.00743861098232846	n.d.	GT4	GT	ABQ89195.1	glycosyl transferase, group 1	Bacteria	Chloroflexi	Chloroflexales
aggregates-combined-assembly1_5366221_1_572_-	aggregates-combined-assembly1_5366221_1_572_-	0.0213041492256275	0.00786404323312077	n.d.	GH78	GH	ABS01610.1	alpha-L-rhamnosidase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5366309_1_477_-	aggregates-combined-assembly1_5366309_1_477_-	0.03142171864948	0.0168170926896783	n.d.	GT4	GT	ABA22050.1	Glycosyl transferase, group 1	Bacteria	Cyanobacteria	Nostocales
aggregates-combined-assembly1_5366385_1_477_-	aggregates-combined-assembly1_5366385_1_477_-	0.0241883308957	0.00844198161677514	n.d.	GT2	GT	ACC40760.1	glycosyl transferase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5366397_1_227_+	aggregates-combined-assembly1_5366397_1_227_+	0.018628304735655	0.00400510137576522	n.d.	CE4	CE	ABS66573.1	polysaccharide deacetylase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5366685_1_268_-	aggregates-combined-assembly1_5366685_1_268_-	0.026392096252175	0.00672721344245444	n.d.	GT66	GT	ABX11975.1	Dolichyl-diphosphooligosaccharide--protein glycotransferase	Archaea	Crenarchaeota	Thermoprotei
aggregates-combined-assembly1_5366746_21_581_-	aggregates-combined-assembly1_5366746_21_581_-	0.039792873057175	0.012713195638467	n.d.	GT66	GT	ABX11975.1	Dolichyl-diphosphooligosaccharide--protein glycotransferase	Archaea	Crenarchaeota	Thermoprotei
aggregates-combined-assembly1_5367486_1_412_-	aggregates-combined-assembly1_5367486_1_412_-	0.038817751366175	0.0135355257480626	n.d.	GH88	GH	ABK03242.1	glycosyl hydrolase, family 88	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5367618_1_500_-	aggregates-combined-assembly1_5367618_1_500_-	0.031249876285495	0.0106844419119796	n.d.	GT51	GT	CAK28193.1	Glycosyltransferase of family GT51; modular; contains a C-terminal transpeptidase domain; probable murein polymerase	Bacteria	Cyanobacteria	Chroococcales
aggregates-combined-assembly1_5374658_1_239_-	aggregates-combined-assembly1_5374658_1_239_-	0.0307896466831	0.0105080741365596	n.d.	GT84	GT	ABQ28483.1	glycosyltransferase 36	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5374735_1_437_+	aggregates-combined-assembly1_5374735_1_437_+	0.0145571779580475	0.0043921598262249	n.d.	GH3	GH	ABD87173.1	glycoside hydrolase, family 3-like	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5376302_1_800_-	aggregates-combined-assembly1_5376302_1_800_-	0.02022648463065	0.00596429525874964	n.d.	CE4	CE	ABJ85391.1	polysaccharide deacetylase	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_5376458_1_1050_+	aggregates-combined-assembly1_5376458_1_1050_+	0.020272388515675	0.00486248348323235	n.d.	GT2	GT	ABW13558.1	apolipoprotein N-acyltransferase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5376695_1_686_-	aggregates-combined-assembly1_5376695_1_686_-	0.045164279038275	0.0198396908837868	n.d.	GT5	GT	CAJ73210.1	strongly similar to glycogen synthase	Bacteria	Planctomycetes	Planctomycetacia
aggregates-combined-assembly1_5376695_812_1327_-	aggregates-combined-assembly1_5376695_812_1327_-	0.045164279038275	0.0198396908837868	n.d.	GH77	GH	ACA59379.1	4-alpha-glucanotransferase	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5376762_371_898_-	aggregates-combined-assembly1_5376762_371_898_-	0.021418298097755	0.0055187316888588	n.d.	GT1	GT	ABK73821.1	N-glycosylation	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5376792_1392_1753_-	aggregates-combined-assembly1_5376792_1392_1753_-	0.0264442264569	0.00797722613478016	3.2.1.37	GH39	GH	BAA95685.1	beta-1,4-xylosidase with transcriptional regulator of AraC/XylS family	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5376926_545_973_-	aggregates-combined-assembly1_5376926_545_973_-	0.0347873247317	0.00797115278099668	n.d.	GH92	GH	EAA62552.1	hypothetical protein AN53922	Eukaryota	Fungi	Ascomycota
aggregates-combined-assembly1_5376967_25_809_+	aggregates-combined-assembly1_5376967_25_809_+	0.039488339141275	0.00894774847894602	n.d.	CBM48	CB	AAT82859.1	1,4-alpha-glucan branching enzyme	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5376987_1_578_-	aggregates-combined-assembly1_5376987_1_578_-	0.034074120204975	0.0118294889973164	n.d.	GH13	GH	AAT82863.1	putative glycogen debranching enzyme	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5377084_1_601_+	aggregates-combined-assembly1_5377084_1_601_+	0.0310953549204	0.00751653065285062	n.d.	GT2	GT	BAD78567.1	hypothetical protein	Bacteria	Cyanobacteria	Chroococcales
aggregates-combined-assembly1_5378465_1_562_+	aggregates-combined-assembly1_5378465_1_562_+	0.0316450562148	0.00735838896488578	n.d.	CBM13	CB	BAG17198.1	hypothetical protein	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5378643_1_606_+	aggregates-combined-assembly1_5378643_1_606_+	0.04488559662395	0.00671808148631215	n.d.	GH65	GH	ABA58247.1	Beta-phosphoglucomutase hydrolase	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5378838_1_528_+	aggregates-combined-assembly1_5378838_1_528_+	0.0273766869363525	0.0128911693766879	n.d.	GT4	GT	ACB75887.1	glycosyl transferase group 1	Bacteria	Verrucomicrobia	Opitutae
aggregates-combined-assembly1_5378884_303_967_+	aggregates-combined-assembly1_5378884_303_967_+	0.0264167734323025	0.0101926258499161	n.d.	GT2	GT	ABS01822.1	response regulator receiver protein	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5378963_933_1358_-	aggregates-combined-assembly1_5378963_933_1358_-	0.033559076372775	0.00914139303284386	n.d.	GH76	GH	EAA63396.1	hypothetical protein AN28252	Eukaryota	Fungi	Ascomycota
aggregates-combined-assembly1_5379059_1_720_-	aggregates-combined-assembly1_5379059_1_720_-	0.02170855458515	0.00457929888202205	n.d.	GH23	GH	ABR44275.1	glycoside hydrolase family 23	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5379392_1_279_+	aggregates-combined-assembly1_5379392_1_279_+	0.0215422755083525	0.00630480024048174	n.d.	none	none	ABJ88043.1	conserved hypothetical protein	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_5385316_1_290_+	aggregates-combined-assembly1_5385316_1_290_+	0.031225199105375	0.0114057543530847	n.d.	GT51	GT	ABC35664.1	penicillin-binding protein 1C	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_5387949_353_531_-	aggregates-combined-assembly1_5387949_353_531_-	0.0252864673437275	0.0072889379112296	n.d.	GH92	GH	EAA62552.1	hypothetical protein AN53922	Eukaryota	Fungi	Ascomycota
aggregates-combined-assembly1_5388792_87_770_+	aggregates-combined-assembly1_5388792_87_770_+	0.027647286346825	0.00917961954865131	n.d.	CE9	CE	ABS60203.1	amidohydrolase	Bacteria	Thermotogae	Thermotogales
aggregates-combined-assembly1_5389068_1_759_-	aggregates-combined-assembly1_5389068_1_759_-	0.02419335099885	0.00422170911497878	n.d.	CBM32	CB	AAW96801.1	Sequence 14364 from patent US 6833447	Unclassified		
aggregates-combined-assembly1_5389291_470_669_+	aggregates-combined-assembly1_5389291_470_669_+	0.04441941615995	0.0157006083928114	n.d.	CE14	CE	BAC70849.1	putative N-acetyl-1-D-myo-inosityl-2-amino-2- deoxy-alpha-D-glucopyranoside deacetylase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5389390_224_574_-	aggregates-combined-assembly1_5389390_224_574_-	0.0160765294756275	0.00578610264763427	n.d.	GT2	GT	AAO76290.1	two-component system sensor histidine kinase/response regulator, hybrid (one component system)	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5389583_1_1052_+	aggregates-combined-assembly1_5389583_1_1052_+	0.0485559202608	0.0115990025642437	n.d.	GT2	GT	AAO76290.1	two-component system sensor histidine kinase/response regulator, hybrid (one component system)	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5390893_1_800_+	aggregates-combined-assembly1_5390893_1_800_+	0.03367247039305	0.00752069273186091	n.d.	GT9	GT	ACC98107.1	lipopolysaccharide heptosyltransferase II	Bacteria	candidate	Elusimicrobium
aggregates-combined-assembly1_5391260_1_811_-	aggregates-combined-assembly1_5391260_1_811_-	0.0320867431374	0.00497097898270929	n.d.	GH4	GH	CAB71199.1	putative sugar hydrolase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5391395_337_881_+	aggregates-combined-assembly1_5391395_337_881_+	0.02968655005615	0.00828704930466638	n.d.	GT2	GT	BAB07376.1	glycosyltransferase	Bacteria	Firmicutes	Bacillales
aggregates-combined-assembly1_5391433_190_985_-	aggregates-combined-assembly1_5391433_190_985_-	0.0390670641475	0.0121712390807765	n.d.	CE14	CE	ABL80673.1	LmbE family protein	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5391634_473_713_-	aggregates-combined-assembly1_5391634_473_713_-	0.023315959910375	0.00785239504646011	n.d.	CE4	CE	ABS68519.1	Chitin deacetylase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5391708_1_273_+	aggregates-combined-assembly1_5391708_1_273_+	0.037703919605325	0.00516776754831567	n.d.	GH94	GH	CAK05553.1	putative glycosyl transferase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5391759_1_445_+	aggregates-combined-assembly1_5391759_1_445_+	0.0278395087445	0.00515900713764088	n.d.	CE4	CE	ABG11383.1	polysaccharide deacetylase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5391847_1290_1875_+	aggregates-combined-assembly1_5391847_1290_1875_+	0.033362253341475	0.00478690904997839	n.d.	GT4	GT	ACD82944.1	Glycosyltransferase	Bacteria	Verrucomicrobia	unclassified
aggregates-combined-assembly1_5392843_1_270_+	aggregates-combined-assembly1_5392843_1_270_+	0.028382412506095	0.0110116920506246	n.d.	GT51	GT	AAT83856.1	penicillin-binding protein (transglycosylase/transpeptidase)	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5392966_1_300_+	aggregates-combined-assembly1_5392966_1_300_+	0.0229743280701	0.00667738444989217	n.d.	GH92	GH	ABR41737.1	glycoside hydrolase family 92	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5393497_1_319_+	aggregates-combined-assembly1_5393497_1_319_+	0.0279722447563	0.00604035376532016	n.d.	GH109	GH	EAZ80128.1	putative oxidoreductase (putative secreted protein)	Bacteria	Bacteroidetes	Sphingobacteria
aggregates-combined-assembly1_5401431_459_895_+	aggregates-combined-assembly1_5401431_459_895_+	0.0324080548682	0.0046884895271111	n.d.	GT2	GT	ABP33555.1	glycosyl transferase, family 2	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_5401627_1_592_-	aggregates-combined-assembly1_5401627_1_592_-	0.032217853463125	0.00931487402994769	n.d.	GH71	GH	EAA31326.1	hypothetical protein	Eukaryota	Fungi	Ascomycota
aggregates-combined-assembly1_5401790_418_816_+	aggregates-combined-assembly1_5401790_418_816_+	0.03338197034265	0.00608356944679582	n.d.	GT2	GT	ABS01822.1	response regulator receiver protein	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5401826_190_676_-	aggregates-combined-assembly1_5401826_190_676_-	0.032950911270325	0.00841485003553873	n.d.	GT2	GT	AAO76290.1	two-component system sensor histidine kinase/response regulator, hybrid (one component system)	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5402052_1996_3000_+	aggregates-combined-assembly1_5402052_1996_3000_+	0.022633055775175	0.00702518216523609	3.2.1.51,3.2.1.63	GH95	GH	AAQ72464.1	alpha-fucosidase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5402213_1_739_+	aggregates-combined-assembly1_5402213_1_739_+	0.031293292348875	0.00966438952461633	2.4.1.4	GH13	GH	ABF44874.1	alpha amylase, catalytic region	Bacteria	Deinococcus-Thermus	Deinococci
aggregates-combined-assembly1_5402300_137_437_-	aggregates-combined-assembly1_5402300_137_437_-	0.0273575411483	0.00743675369389686	n.d.	GT4	GT	ABC37144.1	glycosyl transferase, group 1 family protein	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_5402417_1_594_+	aggregates-combined-assembly1_5402417_1_594_+	0.030010952716855	0.00972165697289215	n.d.	GH15	GH	ABS01710.1	glycoside hydrolase 15-related	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5402566_1_352_-	aggregates-combined-assembly1_5402566_1_352_-	0.0217041975145	0.00402766368151907	n.d.	GT9	GT	CAJ74327.1	similar to lipopolysaccharide heptosyltransferase I	Bacteria	Planctomycetes	Planctomycetacia
aggregates-combined-assembly1_5402702_1_182_-	aggregates-combined-assembly1_5402702_1_182_-	0.0252970507340525	0.0100719662938793	n.d.	CE9	CE	ABJ87642.1	amidohydrolase	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_5403280_1_822_-	aggregates-combined-assembly1_5403280_1_822_-	0.019287134799	0.00463349374781033	n.d.	none	none	ACC80455.1	Amylo-alpha-1,6-glucosidase	Bacteria	Cyanobacteria	Nostocales
aggregates-combined-assembly1_5403280_903_1610_-	aggregates-combined-assembly1_5403280_903_1610_-	0.019287134799	0.00463349374781033	n.d.	none	none	ACC80455.1	Amylo-alpha-1,6-glucosidase	Bacteria	Cyanobacteria	Nostocales
aggregates-combined-assembly1_5404445_1_352_-	aggregates-combined-assembly1_5404445_1_352_-	0.038320088457125	0.0102231300466964	n.d.	GT2	GT	ABW13558.1	apolipoprotein N-acyltransferase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5404774_1_285_+	aggregates-combined-assembly1_5404774_1_285_+	0.024701505478875	0.00584812487363535	2.4.1.4	GH13	GH	AAF10510.1	alpha-amlyase	Bacteria	Deinococcus-Thermus	Deinococci
aggregates-combined-assembly1_5405443_294_713_+	aggregates-combined-assembly1_5405443_294_713_+	0.0232330180252475	0.00731560312782764	n.d.	GT41	GT	AAR37916.1	TPR domain protein	Bacteria	environmental	
aggregates-combined-assembly1_5405546_1_477_-	aggregates-combined-assembly1_5405546_1_477_-	0.0187833373896225	0.00538953362933172	n.d.	GT2	GT	ABK19216.1	glycosyl transferase, family 2	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5408278_1_557_-	aggregates-combined-assembly1_5408278_1_557_-	0.026483752278645	0.0106101539512116	n.d.	GT9	GT	CAJ74327.1	similar to lipopolysaccharide heptosyltransferase I	Bacteria	Planctomycetes	Planctomycetacia
aggregates-combined-assembly1_5414193_1659_1949_-	aggregates-combined-assembly1_5414193_1659_1949_-	0.03777389756215	0.00861828134217102	n.d.	GT2	GT	AAO76290.1	two-component system sensor histidine kinase/response regulator, hybrid (one component system)	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5414278_1_492_-	aggregates-combined-assembly1_5414278_1_492_-	0.02123272148925	0.00202902086523027	n.d.	none	none	ABP71318.1	NAD-dependent epimerase/dehydratase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5414307_187_545_+	aggregates-combined-assembly1_5414307_187_545_+	0.02137852871305	0.00411227735980681	n.d.	GH103	GH	ABQ34421.1	hypothetical protein BBta_2243	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5414373_1_656_+	aggregates-combined-assembly1_5414373_1_656_+	0.0208431647714	0.00449054104685402	n.d.	none	none	ABN77274.1	NAD-dependent epimerase/dehydratase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5414402_1_246_-	aggregates-combined-assembly1_5414402_1_246_-	0.038465232648375	0.0118914516917407	n.d.	GT4	GT	AAT82395.1	putative glycosyl transferase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5414698_1_931_-	aggregates-combined-assembly1_5414698_1_931_-	0.029244048357475	0.0139149275780617	n.d.	GH23	GH	ABY92024.1	peptidase M23B	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5414920_150_620_-	aggregates-combined-assembly1_5414920_150_620_-	0.0229687048587025	0.0068771274017114	n.d.	GH35	GH	ABR43273.1	glycoside hydrolase family 35, candidate beta-glycosidase	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5415355_1_319_+	aggregates-combined-assembly1_5415355_1_319_+	0.0206966026957475	0.0058974688517706	n.d.	GH43	GH	BAD47374.1	putative beta-xylosidase	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5415746_1_480_+	aggregates-combined-assembly1_5415746_1_480_+	0.0265824494008475	0.00668080338910255	n.d.	GT2	GT	AAO76290.1	two-component system sensor histidine kinase/response regulator, hybrid (one component system)	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5416049_1_385_-	aggregates-combined-assembly1_5416049_1_385_-	0.017503470114905	0.00517081733904172	n.d.	GT4	GT	ABQ25515.1	glycosyl transferase, group 1	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5416279_75_955_+	aggregates-combined-assembly1_5416279_75_955_+	0.0314423422461225	0.0126668499066348	n.d.	GH73	GH	BAD02898.1	bacteriolytic enzyme	Bacteria	Firmicutes	Bacillales
aggregates-combined-assembly1_5416525_1_461_+	aggregates-combined-assembly1_5416525_1_461_+	0.0214455075594	0.00403367105186568	n.d.	GT22	GT	XP_365897.1	hypothetical protein MG101174	Eukaryota	Fungi	Ascomycota
aggregates-combined-assembly1_5416572_1_395_+	aggregates-combined-assembly1_5416572_1_395_+	0.03368943184665	0.0109126417627068	n.d.	GH2	GH	CAQ01039.1	putative beta-galatosidase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5416731_359_1006_+	aggregates-combined-assembly1_5416731_359_1006_+	0.018074246370605	0.00501806223207325	n.d.	GT2	GT	ABA88140.1	glycosyltransferase	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5417321_1_463_-	aggregates-combined-assembly1_5417321_1_463_-	0.026755557905625	0.00949599225757528	n.d.	none	none	ABI59546.1	conserved hypothetical protein	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_5426528_421_737_+	aggregates-combined-assembly1_5426528_421_737_+	0.024405625780025	0.00770148083557001	n.d.	CE14	CE	ABL80503.1	LmbE family protein	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5426717_1_980_-	aggregates-combined-assembly1_5426717_1_980_-	0.022502097193025	0.00477689775737662	n.d.	GT83	GT	ACB50888.1	unknown	Bacteria	Cyanobacteria	Chroococcales
aggregates-combined-assembly1_5426717_1139_1447_-	aggregates-combined-assembly1_5426717_1139_1447_-	0.022502097193025	0.00477689775737662	n.d.	GT19	GT	AAP05533.1	lipid-A-disaccharide synthase	Bacteria	Chlamydiae	Chlamydiales
aggregates-combined-assembly1_5426717_1510_1959_-	aggregates-combined-assembly1_5426717_1510_1959_-	0.022502097193025	0.00477689775737662	n.d.	GT2	GT	CAJ73912.1	conserved hypothetical protein	Bacteria	Planctomycetes	Planctomycetacia
aggregates-combined-assembly1_5426734_1_769_+	aggregates-combined-assembly1_5426734_1_769_+	0.025759117690325	0.00357466622391704	n.d.	GT2	GT	ABB37645.1	Glycosyltransferases involved in cell wall biogenesis-like	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5426734_902_1780_+	aggregates-combined-assembly1_5426734_902_1780_+	0.025759117690325	0.00357466622391704	n.d.	GT2	GT	CAJ72492.1	similar to glucosyl-transferase	Bacteria	Planctomycetes	Planctomycetacia
aggregates-combined-assembly1_5427956_1_591_+	aggregates-combined-assembly1_5427956_1_591_+	0.01665292894275	0.00359669839658852	n.d.	GT41	GT	ABM74637.1	Hypothetical protein NATL1_00731	Bacteria	Cyanobacteria	Prochlorales
aggregates-combined-assembly1_5428909_1_188_+	aggregates-combined-assembly1_5428909_1_188_+	0.022866313698325	0.00519612710154771	n.d.	GH9	GH	BAC65236.1	cellulase	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5428916_1_645_+	aggregates-combined-assembly1_5428916_1_645_+	0.0258579984513	0.00763351942925988	n.d.	GH77	GH	ABP45897.1	4-alpha-glucanotransferase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5429144_1_624_-	aggregates-combined-assembly1_5429144_1_624_-	0.038849362358375	0.00914166425537465	n.d.	GT55	GT	CAF28675.1	putative mannosyl-3-phosphoglycerate synthase	Archaea	Crenarchaeota	environmental
aggregates-combined-assembly1_5429156_241_671_+	aggregates-combined-assembly1_5429156_241_671_+	0.02532501504755	0.00804243352722988	n.d.	CE9	CE	ABF43501.1	amidohydrolase	Bacteria	Acidobacteria	Acidobacteriales
aggregates-combined-assembly1_5429203_1_438_-	aggregates-combined-assembly1_5429203_1_438_-	0.02282476688395	0.00700467470319827	n.d.	GH77	GH	ABG08976.1	4-alpha-glucanotransferase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5429628_1_507_+	aggregates-combined-assembly1_5429628_1_507_+	0.0226049996423225	0.00561377321126618	n.d.	GH15	GH	ABA06275.1	glycoside hydrolase 15-related	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5437980_1956_2791_-	aggregates-combined-assembly1_5437980_1956_2791_-	0.024555454692125	0.00534340824741838	n.d.	none	none	ABJ81752.1	oxidoreductase domain protein	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_5438273_1_736_-	aggregates-combined-assembly1_5438273_1_736_-	0.03676968169615	0.00947967941947623	n.d.	GT4	GT	AAW43127.1	transferase, putative	Eukaryota	Fungi	Dikarya
